                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7855,                 3.1407,                0.93417,                0.00022,                0.00441,                0.00011,                  4e-05,                 0.6332,                 1.0241,                0.29296,              0.0033331,              0.0033331,              0.0033331
                      2,                 1.5979,                 2.2772,                0.83545,                 0.0008,                 0.0054,                0.00041,                0.00011,                0.57534,                0.94997,                0.24324,              0.0066005,              0.0066005,              0.0066005
                      3,                 1.5912,                  2.275,                0.84408,                 0.0008,                 0.0054,                0.00041,                0.00011,                0.54644,                0.97928,                0.26658,              0.0098018,              0.0098018,              0.0098018
                      4,                 1.5114,                 2.1596,                0.81713,                 0.0008,                 0.0054,                0.00041,                0.00011,                0.52424,                0.98701,                0.25871,               0.009703,               0.009703,               0.009703
                      5,                   1.42,                 2.0413,                0.77753,                 0.0008,                 0.0054,                0.00041,                0.00011,                0.52009,                0.98986,                0.25113,               0.009703,               0.009703,               0.009703
                      6,                 1.3811,                 1.9748,                0.77318,                 0.0008,                 0.0054,                0.00041,                0.00011,                0.53908,                 0.9856,                0.25107,               0.009604,               0.009604,               0.009604
                      7,                 1.3276,                 1.9286,                0.75624,                 0.0008,                 0.0054,                0.00041,                0.00011,                0.55979,                0.98083,                0.25663,               0.009505,               0.009505,               0.009505
                      8,                 1.2814,                 1.8562,                 0.7417,                 0.0008,                 0.0054,                0.00041,                0.00011,                0.55706,                0.98163,                0.25897,               0.009406,               0.009406,               0.009406
                      9,                 1.2672,                 1.8336,                0.73655,                0.00079,                0.00031,                 0.0004,                0.00019,                0.55006,                0.99102,                0.25364,               0.009307,               0.009307,               0.009307
                     10,                 1.2289,                  1.782,                0.71124,                0.00041,                0.00085,                0.00021,                  8e-05,                0.54789,                 1.0233,                0.24531,               0.009208,               0.009208,               0.009208
                     11,                 1.2403,                 1.8013,                 0.7253,                0.00028,                0.00139,                0.00015,                  5e-05,                0.55226,                 1.0628,                0.24426,               0.009109,               0.009109,               0.009109
                     12,                 1.2076,                 1.7649,                0.71013,                0.00029,                0.00224,                0.00015,                  5e-05,                0.57568,                 1.1139,                0.24788,                0.00901,                0.00901,                0.00901
                     13,                 1.2135,                 1.7691,                0.72156,                0.00027,                0.00282,                0.00014,                  5e-05,                0.60404,                 1.1563,                0.25882,               0.008911,               0.008911,               0.008911
                     14,                 1.1816,                 1.7356,                0.70597,                0.00031,                 0.0036,                0.00016,                  5e-05,                 0.6228,                 1.1773,                0.26505,               0.008812,               0.008812,               0.008812
                     15,                 1.1743,                 1.7188,                0.70177,                0.00029,                 0.0038,                0.00014,                  5e-05,                0.64895,                 1.2018,                0.27858,               0.008713,               0.008713,               0.008713
                     16,                 1.1427,                 1.6952,                0.68667,                0.00021,                0.00312,                0.00011,                  3e-05,                0.66344,                 1.2271,                0.28653,               0.008614,               0.008614,               0.008614
                     17,                 1.1565,                 1.7007,                0.69279,                0.00019,                0.00295,                  9e-05,                  3e-05,                0.66256,                 1.2456,                0.28325,               0.008515,               0.008515,               0.008515
                     18,                 1.1495,                 1.6969,                0.68424,                0.00016,                0.00251,                  8e-05,                  2e-05,                0.68326,                 1.2591,                0.29265,               0.008416,               0.008416,               0.008416
                     19,                 1.1489,                 1.6871,                0.69066,                0.00014,                0.00261,                  7e-05,                  2e-05,                0.68975,                 1.2902,                0.29543,               0.008317,               0.008317,               0.008317
                     20,                 1.1521,                 1.6937,                0.69596,                0.00016,                0.00306,                  8e-05,                  2e-05,                0.68813,                 1.3124,                0.29731,               0.008218,               0.008218,               0.008218
                     21,                 1.1421,                 1.6795,                0.69073,                0.00015,                0.00312,                  8e-05,                  2e-05,                0.70257,                 1.3375,                0.30544,               0.008119,               0.008119,               0.008119
                     22,                 1.1249,                 1.6631,                0.68526,                0.00016,                0.00323,                  8e-05,                  3e-05,                 0.7282,                 1.3389,                0.32608,                0.00802,                0.00802,                0.00802
                     23,                 1.1179,                 1.6597,                0.68384,                0.00016,                0.00312,                  8e-05,                  3e-05,                0.74855,                 1.3288,                0.34227,               0.007921,               0.007921,               0.007921
                     24,                 1.1165,                  1.647,                0.68853,                0.00018,                 0.0034,                  9e-05,                  3e-05,                0.74642,                 1.3295,                0.34397,               0.007822,               0.007822,               0.007822
                     25,                 1.0876,                 1.6233,                0.67326,                0.00018,                0.00343,                  9e-05,                  3e-05,                0.73592,                 1.3286,                0.33451,               0.007723,               0.007723,               0.007723
                     26,                 1.1171,                 1.6404,                0.67994,                0.00016,                0.00285,                  8e-05,                  3e-05,                0.72722,                 1.3248,                0.33038,               0.007624,               0.007624,               0.007624
                     27,                 1.1068,                 1.6374,                0.67604,                0.00016,                0.00275,                  8e-05,                  3e-05,                0.71506,                 1.3126,                0.32205,               0.007525,               0.007525,               0.007525
                     28,                 1.0808,                 1.6054,                0.66769,                0.00013,                0.00214,                  7e-05,                  2e-05,                0.72599,                  1.295,                0.33165,               0.007426,               0.007426,               0.007426
                     29,                 1.0765,                 1.6093,                0.67298,                0.00012,                0.00187,                  6e-05,                  2e-05,                0.72336,                 1.2919,                0.33501,               0.007327,               0.007327,               0.007327
                     30,                 1.0854,                 1.6102,                0.67789,                0.00015,                0.00231,                  7e-05,                  2e-05,                0.72598,                 1.2947,                0.33834,               0.007228,               0.007228,               0.007228
                     31,                 1.0698,                 1.5866,                0.66512,                0.00016,                0.00258,                  8e-05,                  3e-05,                0.72136,                 1.2989,                0.33403,               0.007129,               0.007129,               0.007129
                     32,                 1.0637,                  1.602,                0.66675,                0.00014,                0.00238,                  7e-05,                  3e-05,                0.72977,                 1.3027,                0.33819,                0.00703,                0.00703,                0.00703
                     33,                 1.0709,                 1.5973,                0.66773,                0.00014,                0.00234,                  7e-05,                  2e-05,                0.72702,                 1.3082,                0.33261,               0.006931,               0.006931,               0.006931
                     34,                 1.0548,                 1.5917,                0.66954,                  8e-05,                0.00146,                  4e-05,                  1e-05,                0.71238,                 1.3252,                0.32302,               0.006832,               0.006832,               0.006832
